date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:05	93806/93806	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:44%20GMT	https://pixner.net/revest/revest/index.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/index.html	(from )
10:22:06	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Dec%202023%2004:52:06%20GMT	https://pixner.net/robots.txt		(from )
10:22:06	2188/2188	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Apr%202022%2000:34:44%20GMT	https://pixner.net/revest/revest/assets/images/favicon.png	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/assets/images/favicon.png	(from https://pixner.net/revest/revest/index.html)
10:22:07	155845/155845	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Jun%202021%2018:25:36%20GMT	https://pixner.net/revest/revest/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://pixner.net/revest/revest/index.html)
10:22:08	89220/89220	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Feb%202022%2001:39:04%20GMT	https://pixner.net/revest/revest/assets/vendor/font-awesome/css/all.min.css	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/assets/vendor/font-awesome/css/all.min.css	(from https://pixner.net/revest/revest/index.html)
10:22:09	4007/4007	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20May%202016%2004:32:26%20GMT	https://pixner.net/revest/revest/assets/vendor/nice-select/css/nice-select.css	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/assets/vendor/nice-select/css/nice-select.css	(from https://pixner.net/revest/revest/index.html)
10:22:09	6951/6951	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Feb%202022%2017:20:44%20GMT	https://pixner.net/revest/revest/assets/vendor/magnific-popup/css/magnific-popup.css	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/assets/vendor/magnific-popup/css/magnific-popup.css	(from https://pixner.net/revest/revest/index.html)
10:22:10	1776/1776	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Oct%202017%2017:49:30%20GMT	https://pixner.net/revest/revest/assets/vendor/slick/css/slick.css	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/assets/vendor/slick/css/slick.css	(from https://pixner.net/revest/revest/index.html)
10:22:11	57094/57094	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Apr%202022%2004:34:24%20GMT	https://pixner.net/revest/revest/assets/vendor/animate/animate.css	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/assets/vendor/animate/animate.css	(from https://pixner.net/revest/revest/index.html)
10:22:11	286659/286659	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20May%202022%2008:52:58%20GMT	https://pixner.net/revest/revest/assets/css/style.css	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/assets/css/style.css	(from https://pixner.net/revest/revest/index.html)
10:22:12	2708/2708	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Apr%202022%2000:34:42%20GMT	https://pixner.net/revest/revest/assets/images/logo.png	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/assets/images/logo.png	(from https://pixner.net/revest/revest/index.html)
10:22:12	7300/7300	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2005:05:14%20GMT	https://pixner.net/revest/revest/login.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/login.html	(from https://pixner.net/revest/revest/index.html)
10:22:13	9392/9392	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2005:05:14%20GMT	https://pixner.net/revest/revest/registration.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/registration.html	(from https://pixner.net/revest/revest/index.html)
10:22:13	76481/76481	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/index-two.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/index-two.html	(from https://pixner.net/revest/revest/index.html)
10:22:14	49533/49533	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/index-three.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/index-three.html	(from https://pixner.net/revest/revest/index.html)
10:22:14	72833/72833	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/properties.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/properties.html	(from https://pixner.net/revest/revest/index.html)
10:22:14	62862/62862	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/property-details.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/property-details.html	(from https://pixner.net/revest/revest/index.html)
10:22:15	23580/23580	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/property-alert.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/property-alert.html	(from https://pixner.net/revest/revest/index.html)
10:22:15	52268/52268	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/business-loan.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/business-loan.html	(from https://pixner.net/revest/revest/index.html)
10:22:15	62769/62769	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/business-loan-details.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/business-loan-details.html	(from https://pixner.net/revest/revest/index.html)
10:22:16	38536/38536	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/loan-application.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/loan-application.html	(from https://pixner.net/revest/revest/index.html)
10:22:16	47034/47034	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/list-your-property.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/list-your-property.html	(from https://pixner.net/revest/revest/index.html)
10:22:16	43186/43186	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2003:43:16%20GMT	https://pixner.net/revest/revest/dashboard.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/dashboard.html	(from https://pixner.net/revest/revest/index.html)
10:22:17	34608/34608	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/about-us.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/about-us.html	(from https://pixner.net/revest/revest/index.html)
10:22:17	32524/32524	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/affiliate-program.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/affiliate-program.html	(from https://pixner.net/revest/revest/index.html)
10:22:17	44560/44560	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/blog.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/blog.html	(from https://pixner.net/revest/revest/index.html)
10:22:18	44576/44576	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/blog-two.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/blog-two.html	(from https://pixner.net/revest/revest/index.html)
10:22:18	29469/29469	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/blog-single.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/blog-single.html	(from https://pixner.net/revest/revest/index.html)
10:22:18	29793/29793	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/career.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/career.html	(from https://pixner.net/revest/revest/index.html)
10:22:18	30422/30422	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/career-details.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/career-details.html	(from https://pixner.net/revest/revest/index.html)
10:22:19	40688/40688	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/how-it-works.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/how-it-works.html	(from https://pixner.net/revest/revest/index.html)
10:22:19	29789/29789	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/key-risks.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/key-risks.html	(from https://pixner.net/revest/revest/index.html)
10:22:19	23468/23468	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2009:02:40%20GMT	https://pixner.net/revest/revest/loyality-program.html	C:/Users/Anoj%20Kumar/Desktop/real%20sata/m/pixner.net/revest/revest/loyality-program.html	(from https://pixner.net/revest/revest/index.html)
